장소,별점,리뷰
,5,1시간 반의 기다림 끝에 맛 볼수 있었던 런던 베이글이다
,5,이곳 베이글은 다른 베이글 집과 달이 빵이 정말 촉촉하고 쫀득쫀득 부드럽다
,5,왜 줄이 길까하는 의문은 베이글을 먹어보면 사라진다
,5,"플레인, 감자치즈, 대파 언니언 베이글, 소금 베이글 이렇게 맛 보았다"
,5,정말 하나 하나 특색있고 맛있다
,5,개인적으로 대파랑 감자가 정말 입에 잘 맞았다
,5,베이글을 먹고나서 집에 잠들기 전 또 생각난다
,5,지루함을 달래기 위해 자신의 차례가 오기 전 북촌 한바퀴 돌며 구경하길 권한다
,5,기다림의 미학이 뭔지 알 수있는 곳이다
,5,마음 편하게 원래 오래 기다리는 곳이라고 생각해서 편하다
,5,인스타 감성이 물씬 나는 이곳은 조명부터 인테리어까지 진심을 담아 만들었다
,5,인싸들이 찾는 이곳 아침 오픈런에 자신있다면 가보기를 추천한다.
,4,인스타하는 분들이 특히 좋아할만한 곳 이국적인 분위기+베이글비쥬얼과 맛이 좋아요
,4,기본적으로 베이글이 쫄깃쫄깃하고 맛있어요
,4,총 3개 먹어봤는데요
,4,시그니처인 브릭레인이 가장 특색있게 맛있었어요
,4,세사미베이글과 꿀 크림치즈 조합이 조화롭게 맛있더라구요
,4,포테이토 치즈 베이글이 그 다음으로 맛있어요 으깬감자가 듬뿍 들어있고 위에 체다치즈 한장이 올려져있어요
,4,부추어니언베이글은 시큼한 맛이 튀어서 아쉬웠어요 반나절 두었다 먹어도 쫄깃하고 맛있는거보면 보관성도 좋지만 가격이 비싸고 웨이팅이 긴 것이 단점입니다
,4,안에서 분위기를 즐기면서 먹으면 몰라도 테이크아웃 가격으로는 비싸다는 생각에 별1개 뺐어요
,4,"포장,매장식사 두 개 다 건 후, 포장으로 일찍 들어가서 미리 베이글 골라 사두고, 식사 순번 되었을 때 커피를 사서 들어갔어요"
,4,프레젤 버터 소금 베이글: 간단한데 맛이 일품
,4,감자 베이글: 데워먹어야함
,4,시금치 베이글: 살짝 과일향이 도는게 맛있음
,4,블루베리 베이글: 블루베리 베이글
,4,참깨 베이글: 참깨는 맛있는데 크림치즈가 과하다
,4,쪽파 베이글: 양파맛 크림치즈의 맛
,4,"[요약]: 다양한 베이글이 있고, 베이글이 맛있는곳 [재방문의사]: 90 % [꿀팁]: 인기가 많아서 웨이팅이 있을수 있다"
,4,베이글은 미리 찾아보고가기
,4,"[주문메뉴]: 바질, 무화과, 시나몬, 치즈감자 베이글 [가격]: 4,500~8,500 (베이글 전메뉴 가격대) - 일단 베이글이 맛있다"
,4,- 베이글 종류가 흔히 볼수없는 메뉴들로 다양하다 - 베이글 종류가 다양해서 미리 예습하고 가는 것을 추천 베이글을 좋아한다면 베이글 취향대로 종류별로 한번씩사서 맛봐도좋을것 같다
,4,베이글은 쟁반에 담아서 계산대로가져가면 된다
,4,사람이 많을땐 줄서서 담고 계산해서 복잡 할 수도 있다
,4,매장은 테이블이 많은편도 적은편도 아닌편.
,4,오픈할때 아니면 평일 오후에도 매장이용은 거의 웨이팅이 있다
,4,매장이용한다면 스프류를 먹어봐도 좋을것 같다.
,5,"줄이 정말 길지만 대기 시스템이 잘 갖춰져있기 때문에, 예약하고 다른 곳을 둘러보다가 돌아오면 좋습니다"
,5,베이글 종류가 다양합니다
,5,전체적으로 부드럽고 쫄깃합니다.
,5,이국적인 분위기에 맛있는 베이글들 포장이라서 대기번호 입력하고 30분 정도 기다려서 가게 들어갔어요
,5,줄 서서 원하는 베이글 고르고 계산 후 포장 도와주십니다.
,4,"평일인데도 엄청 줄이 길고, 웨이팅했던 곳입니다"
,4,기대가 너무 많아서 인지 생각보다 그냥 맛있네 이정도 였던 것 같아요
,4,파크림치즈는 한입 베어물고 진짜 맛있었는데 확실히 크림치즈다 보니 빨리 물리긴 합니다
,4,그리고 감자치즈인가 그런것도 먹었는데 식사빵 느낌으로 단백했어요
,4,베이글 자체는 맛있어서 사가지구 냉동에 넣었다가 에프굽해서 먹으면 좋아요
,4,거기 메이플 피칸 크림치즈 진짜 맛있어요
,4,그거는 꼭 사오셔서 플레인이나 솔티드 베이글에 발라 드세요!
,3,브릭레인 엄청 꼬소하고 맛남
,3,포테이토치즈 물리는 맛이고 의외로 페퍼로니 할라피뇨 피자빵맛 나고 맛났음
,3,스프는 짠 맛 나는 베이글류랑 먹으면 맛날거같으나 단독으로 먹으니 파스타소스 먹는 기분이 들었음
,3,화요일 오전 9시에 테이블링 했는데 50분만에 입장함.
,1,인기 있습니다
,1,맛 있습니다
,1,독특 합니다
,1,핫 플레이스 입니다
,1,인싸 맛집 입니다
,1,근데…너무 너무 기다려요…물론 나름대로의 요령이 있습니다만…암튼 너무 너무 기다립니다…..한시간만 기다리면 별다섯개 줍니다
,1,두시간이면 별 3개 줍니다
,1,근데 그 이상이면….
,5,와~~ 베이글뮤지엄 답게 다양하고 맛있는 베이글이 많았습니다
,5,웨이팅이 필수입니다
,5,그런데 금방 입장가능합니다
,5,핸드폰어플로도 예약이 가능하다는데 저는 잘 모르겠어요.
,5,오랜 기다림을 충족시켜주는 맛
,5,그래도 두번 기다려 본 걸로 충분한 것 같습니다
,5,맛도 맛이지만 매장 분위기가 생동감 넘쳐서 인상적이었습니다
,5,일 히시는 분들은 힘들겠지만..;;
,4,08:00오픈에 08:30분 도착했는데 포장도 30분 기다렸어요
,4,30분은 기다릴 수 있지만 그 이상은 생각해 봐야 할 것 같아요
,4,다른 곳보단 베이글이 쫀득쫀득 한 편이에요
,4,실온 보관 하고 다름날 먹었는데도 쫄깃함이 조금 남아 있었어요
,4,30분 정도의 기다림이라면 드셔보시는 걸 추천 해드리고 그 이상은 더우니깐..........
,5,아침에 호다닥 가면 줄서지 않고 먹을 수 있는 것 같다
,5,베이글은 배부르게 든든하고 인테리어나 소품들이 갬성이 넘친당
,4,가본적도 없는 영국에 온 느낌 앤틱한 인테리어와 소품들 다양한 종류의 베이글과 크림치즈 아침 7시30분에 도착했지만 이미 내 앞에 30명 웨이팅 어마어마한 인기에 재방문은 엄두도 안남 그리고 중요한 베이글 맛는 사실 그럭저럭
,4,핫플인만큼 평일 낮에도 웨이팅 1시간이었어요
,4,자석은 많지만 좁고 다소 불편해요
,4,친절한 안내와 서비스는 좋아요
,4,"베이글은 다양하고 쫄깃한 식감이고, 크림치즈는 평범한 맛이에요"
,4,토마토 스프는 맛있고 양이 넉넉했어요
,4,샐러드는 채소양이 넘치게 많아서 드레싱이 부족한 느낌이었어요
,4,분위기는 좋은데 지금은 넘 핫플이라 느긋하게 즐기기 어려워서 아쉬웠어요.
,3,평일 늦은 오후에도 방문하였는데도 웨이팅이 좀 있었습니다 ^^;; 다행히 오래 기다리진 않았지만 ㅋㅋ 근데 예상보다 그리 맛있는지는 조금 모르겠고.
,3,인테리어가 귀여웠습니다~ 주차장은 없어서 근처 정독도서관이나 국립현대미술관에 주차하는 것을 추천드립니다!
,5,2시간 정도 기다렸지만 대기표 시스템이 편해서 대기 끊고 북촌 구경 가능해서 좋았습니다
,5,베이글 많이 먹어왔지만 정말 과장 없이 인생최고 베이글이었어요
,5,다음에 기회되면 스프와 샌드위치 도 먹어보고 싶습니다.
,3,유명한 맛집인데 대기가 살인적이다
,3,맛난 베이글임은 분명한데 평일 오후에도 테이블링 원격줄서기로 1시간 기다렸다.
,3,베이글 맛은 잘 모르지만 갓 구운 베이글은 맛있고 사람들도 일찍오고 직원분들도 일찍 출근하는 곳이라 부지런하고 고생한다는 부분은 박수 받아야할 부분이다
,3,7:30인데도 몇 분이 앞에 계시고 8시에 대기등록하면 8:30준 정도에는 들어갈 수 있다
,3,평일은 많이 안 붐빌거라 생각했는데 천만의 생각이었다
,3,크림이 있는 베이글은 느끼한 거 못먹는 분들은 느끼할 수 있습니다
,3,친절하고 잘 먹고 나온 듯 하다.
,3,"기술의 발전으로 테이블링앱으로 원격 줄서기를 할 수 있지만, 5분안에 가려면 어차피 근처에 있어야한다"
,3,기본 한시간 대기인데 그만한 가치가 있냐 라고 물어본다면 그 시간을 기다리면서 먹지 않겠다
,3,북촌에는 너무 맛있는 가게가 많으며 심지어 괜찮은 빵집도 많은데 굳이
,3,라는 생각이다
,3,하지만 맛에는 이견이 없으며 맛있지만 사실 맛도 하나하나가 너무 강해 물리는 맛이다.
,5,주차장은 없음
,5,가까운 곳은 정독도서관 주차장 그리고 현대 엔지니어링 주차장이 좋다
,5,"네 가지 베이글, 한 가지 수프, 세 잔의 음료를 주문했다"
,5,맛본 메뉴 중 쪽파 크림 치즈가 히트
,5,샌드위치도 맛있음
,5,레모네이드에 크게 만족했다
,5,"다만, 주문 시스템은 개선하면 좋겠다"
,5,기다리는 사람은 적어도 주문하고 음식이 나오기까지 한 시간 걸렸다.
,5,"다양한 맛의 베이글로 선택 범위가 넓고, 맛도 좋아요"
,5,감성적 인테리어도 멋지고요
,5,"다만, 핫플이라 대기가 길어요ㅜㅜ"
백년토종삼계탕,5,가희동 북촌 한옥마을에 있는 삼계탕 전문점 2017~2019년까지 미슐랭 맛집에 선정되었던 삼계탕 맛집 북촌 한옥마을에 주차가능한 몇 안되는 곳(주차는 4~5대 정도 가능할듯) 삼계탕 국물이 진하지 않고 깔끔한 편 잡내없이 깔끔하면서 깊은맛 👍👍👍 밑반찬으로 나오는 깍두기 김치 통마늘장아찌도 나쁘지않고 삼계탕과 잘 어울리는 맛 어머님도 맛있다고 한그릇 깨끗이 비우셨어요
,4,내부가 엄청 큰 삼계탕집입니다
,4,근처에 있는 북촌삼계탕에 비해 맑고 가벼운 삼계탕 스타일입니다
,4,맛은 그냥 무난한 삼계탕 맛이고 가격대는 좀 비싼 편입니다.
,4,삼계탕은 특별한 점은 발견하지 못했고 좋은 점은 냄새 없고 닭 사이즈가 작아 먹기에 부담없고 연해서 좋았다
,4,"같이 곁들여 나오는 김치, 깍두기가 아주 맛 있었고 특히 마늘장아찌가 맛나서 좋았다"
,4,낮 시간대라서 맘 놓고 못 먹은 것이 아쉬웠다
,4,"하여튼, 삼계탕은 국물 포함하여 그냥 보통 수준인데 기본 반찬에 훨씬 점수를 주고 싶다."
,4,"식당이 규모도크고 잘 정리정돈되여, 첫인상이 좋았고, 토종삼계탕을 주문해서먹었는데 잡내가 없고, 담백해서 조았으나 주차장 적어 다소불편할뜻 ."
,4,슬슬 북촌 가을길 걷다가 뜨끈한 국물과 몸보신 생각나믄 딱이예요 김치 깍뚜기 특히 마늘장아찌 짱 맛있어요 들깨 즐기시면 들깨삼계탕 강추입니다 친절하시구요 관광객 단체 많지만 평일 점심정도 방에 자리잡으면 별상관없이 잘 먹고 올 수 있습니다 좌석 넉넉하고 가격 좋구요 2017 2018 연속2년째 미슐랭가이드 선정됐다니 믿고 가세요
,3,닭이 야들하고 맛있습니다
,3,가격은 비싸서 부담스럽고요
,3,특별한 점이 있는것 같진 않습니다
,3,삼계탕안에 인삼하나
,3,정도 들어있고 딱히 재료가 많이들어가지 않았습니다
,3,깔끔하게 잘만든 삼계탕 맛
,3,가격이 좀 있는 장소
,4,삼계탕 국물이 깔끔하고 일인분 적당량입니다
,4,단체 관광객이 많아요
,1,테이블 앉은지 1 거의 한시간째 음식기다리고 있네요.
,1,단체 손님왔다고 테이블 쪽은 신경도 안쓰고 음식 언제나오냐니깐 순서대로 나올거라고 성의없는 말만하고.
,1,창덕궁 후원 예약 시간 전 넉넉히 잡고 왔는데 미리 알려줬다면 다른곳에서 먹었을텐데.
,1,이럴거면 다신 안오고 싶네요.
,5,북촌 대표적인 삼계탕집
,5,별 기대안하고 왔는데 맛있었음.
,3,몇년전 미쉐린 가이드에 등재됐던 곳이라는데..
,3,"삼계탕 맛은 다른 집들과 별반 다를 것은 없는데 김치, 깍뚜기와 마늘장아찌가 맛있고 입구의 야외 대기실이 좋음~!"
,5,맛있는 삼계탕이네요~ 김치 깍두기 다 괜찮아요
,5,맛이 아주 훌륭해
,5,"깔끔한 국물맛, 부드러운 육질 , 다시 가고 싶은 맛"
,5,"주차는 5대만 가능함, 식사후 한옥마을을 산책하면 좋음"
,2,장점 깨끗하고 닭이 신선했습니다 단점 (불친절함) 가격이 비싸고 맛은 어디서나 먹을수 있는 맛이며 인삼도 작은 인삼을 토막내서 주네요
,2,인삼주 달라면 준다는데 어디에도 안내가 없습니다
,5,엄마 서울대병원 방문후 몸보신 시켜드리려 늦은점심겸 저녁 먹음 인삼튀김 좋았고 들깨삼계탕.그냥 삼계탕.전복 삼계탕 종류별로 시켰음 다 맛있었고 야들야들 육질이 좋았음
,4,개인적으로 도시에서 먹을 수 있는 몇 안되는 맛좋은 삼계탕입니다
,4,흑마늘 삼계탕 추천드립니다.
,4,가격은 좀 비싸지만 맛은 굿 정원도 예쁘다 서비스하는 종업원들에게 교육은 좀 시켜야 할 듯
,5,닭이 보들보들해요 가게가 넓구 직원분들고 친절쓰
,1,"친절하지않고 청결하지않고 비싸고 (기본 16,000) 인삼주 딱 한잔준다 한병아니다 외국인들 많이 오는곳 만육천원짜리 삼계탕은 아니다 지호가 훨맛남 내가 한게 훨맛남 아무튼 돈 아까움"
,4,식사시간 지나서 갔어요
,4,음식 20넘게 기다리다 먹었어요
,4,남편은 토속*보다 맛있대요
,4,가격도 기본 만육천원입니다
,4,저는 먹고난날 저녁에 온몸이 근질근질했어요
,4,삼이 잘 안받는건지..맛은 있어요.
,3,개인적으론 3.1점
,3,"맛은 4.3점, 친절도는 2점, 편의시설 3점, 총점 3.1점 되시겠다"
,3,맛은 아주 좋은편
,3,체인점 치곤 국물 맛이 깊고 진하다
,3,한약제를 잘 우려내어 맛이 깊고 첫 한술에 대한 기분이 좋다
,3,"단, 가성비는 좋지 않다"
,3,주차대수는 5대로 매우 좁고 주변의 유료 주차장 또한 4대정도로 자가용을 끌고 가기엔 부적절한 곳
,3,직원 교육이 부족하며 그 어디도 직원의 친절에 대해 신경쓰지 않는 것 같다
,3,직원은 조선족분들이 위에서 시키는 대로 할 뿐이다라는 마인드로 일하는 느낌이기 때문에 점장의 마인드나 교육따윈 필요없이 우린 미슐랭 맛집이니까 괜찮아 라고 하는 부분이 겉으로 표현 될 정도로 부족한 부분이 많다
,3,"단, 욕을 하거나 막대하지는 않기 때문에 정말 아무일이 없다면 신경이 쓰이는 것은 아니다"
,3,이곳보다 괜찮은 삼계탕집 엄청 많다
,3,"단, 맛은 충분히 보장되는 곳이며 한번쯤 가보는 것은 추천하고 싶은 곳."
,4,맛이 없는 건 아닌데 백년토종 삼계탕의 경우는 다른 유명한 삼계탕집 시그니처 메뉴보다 좀 가격이 센 느낌이었어요
,4,"깨끗한 가게에 깔끔한 국물 맛을 원하는 경우는 가도 좋겠지만, 굳이 이 가게를 고집할 필요는 없을 것 같아요"
,4,삼계탕류 외에도 치킨 등의 메뉴가 있어서 삼계탕 전문점의 느낌이 아닌 것도 좀 아쉬었어요.
,5,국물이 깔끔하고 안에 들어있는 인삼 등이 보신에 좋은 것 같습니다.
,3,"음 토종삼계탕 16,000원 넓은 홀 뭐 친절한 서비스 이거면 되지 않나요"
,3,^^; 맛은 취향..
,3,전 좀 짜요 하지만 일잔적으로는 다들 아무것도 안치고 맛있으실 거예요
,3,근데 파하고 청량고추 썰어서 추가로 넣게 해주시면 더 좋으실듯하내요.
,3,주차도 5대가량은 가능해서 주말에 오시는 분들은 주차 가능한 곳이라 좋습니다
,3,닭백숙 맛 깔끔하고 찬은 무에마늘무침 그리고 김치로 단순하고 괜찮습니다
,3,그런데 인삼주 한잔의 서비스가 말을 할때만 챙겨주셔서 모르시는 분들은 지나칠 수 있네요
,3,말씀 그리고 마시다보니 저희들 테이블 말고는 안 드시고 계신듯하여 그게 좀 아쉬웠어요
,3,숙성이 덜 된 맛이라 추천드려요 하는 한잔은 아니지만고객에게 같은 서비스가 말을 하면 드려요 에서 별 반개접었습니다
,3,평등한 서비스나 안내가 필요해 보입니다.
,4,맛있는데 비싸고 양이 적어요
,2,가격은 비싸고 닭은 작다
,2,관광객들에게는 명소처럼 소개된것 같은데 굳이 찾아가서 먹을만한 곳은 아닌듯
,2,주변의 북촌풍경과 가게 마당은 고즈넉하니 좋다
,2,뭘 먹을까 주변을 돌아다니다가 미슐렝 맛집 써있길래 들어가서 맛있게 잘 먹었습니다
,2,식당 내외관도 깔끔하고요
,2,"근데, 잘 먹고 계산하려고 나오던 중에 경악했습니다"
