id	document	label
591	엄청 맛있는 도넛.	5
6658	맛은 상당히 괜찮은 편이였다	3
19059	지나가다 보면 문이 닫겨있는 것 같지만,	5
15232	맛은 수제버거 맛이다	4
15310	But, this shop is cheap and delicious.	5
13502	분명한 개성이 있고 3층 규모가 주는 공간적 여유도 있다	4
14410	테이블 소독같은 코로나 방역관리를 잘 하고있단 느낌을 주는 가게라 첫 인상은 좋았습니다	4
8119	인도 커리와 난이기 때문입니다	5
5819	아이스크림이랑 찹쌀떡 추가해서 먹음	5
7077	그만큼 웨이팅이 기니 가실 분은 참고하셔요!	5
6036	가희동 북촌 한옥마을에 있는 삼계탕 전문점 2017~2019년까지 미슐랭 맛집에 선정되었던 삼계탕 맛집 북촌 한옥마을에 주차가능한 몇 안되는 곳(주차는 4~5대 정도 가능할듯) 삼계탕 국물이 진하지 않고 깔끔한 편 잡내없이 깔끔하면서 깊은맛 👍👍👍 밑반찬으로 나오는 깍두기 김치 통마늘장아찌도 나쁘지않고 삼계탕과 잘 어울리는 맛 어머님도 맛있다고 한그릇 깨끗이 비우셨어요	5
4845	가격대비 음식은 나뿌지 읺습니다	3
21666	인스타에서 보고 기대를 품고 갔는데 생각보다는 별로였습니다	3
19040	1인 1닭해야 양이 맞아요.	4
10388	이날이 크리스마스 이브여서 차량 통행 금지구역이 많아서 주차도 힘들었고 웨이트 중인 손님도 많았다.(평소에는 ABC마트 주차장을 이용하면 된다.)  예약을 하고 갔지만 약간의 웨이트가 있었다	4
16516	평양냉면은 깔끔하다 정도다	3
2882	특히나 안에 들어가면 추가주문이 안되기때문에 신중하게 고를 필요가있다	5
8681	친절하고 일 처리도 빠른 편	4
19629	양도 푸짐합니다	4
14314	양이 적다	2
13889	샐러드가 매우매우 맛있었고 토마토와 루꼴라가 신선했음	5
212	고추는 그냥 일반 라면 수준의 매운 정도	5
16618	두유 폼도 좋았어요ㅎㅎ 근데 디저트로 티라미수를 먹었는데 맛있는 있었는데ㅠ 배가 계속 아파서 화장실 자주 갔네요 힝 내부는 예쁘고 좋았어요ㅎㅎ	3
14594	된장술밥은 아쉬운점은 시레기가 들어간 된장이면 완전 꿀 조합이었을 듯~	5
13667	1	4
16955	양념갈비는 가격은 비싸지 않지만 아주 맛있는 편이다	4
2433	이게 진짜 맛있었던거같아요	5
20801	면이 일반 소면과 달라 여쭤보니 직접만든	5
9991	진짜 일찍 발견한 제가 빅 럭키입니다.	5
6850	매운탕도 다른집과 달리 뼈만 있는게 아닌 살이 굉장히	5
19950	뭔가 타 테이블 소음을 조금이라도 흡수할 수 있는 뭔가가 있어야할듯요	4
7489	장어 비린내, 잔뼈 많이 없이 잘 손질하시는듯	4
9295	오래된 지역서점으로 큰 공간과 나눠진 공간에서의 다양한 문구류들이 있어 좋다.	4
12346	가끔 회사 구내식당 음식이 물릴 때 점심 메뉴인 도미솥밥(특)을 주문해서 먹는데 직장인 점심치고 다소 부담되는 가격(3만원)이지만 만족스러움	4
8266	단대오거리 이안경 뒷편	5
18332	모든 직원분들이 친절하시고 맛있는곳이에요	5
6468	사장님이 직접 만든 수제청청 짱~~^^	5
6406	그런걸 추구하는 음식점인 것 같습니다	2
20332	️	5
7707	줄이 쭉 생겼습니다	5
497	바로 옆에 경쟁 업체가 마주 보고 있어서 들어 가기 전에 호객행위가 조금 있었다	3
11590	(영국식 느낌 폴폴....)	4
14952	평일점심 특선메뉴를 먹으러 갔는데,깔끔하고 가격도 괜찮고 맛있음	4
13023	친구2는 물론 맛있지만 치즈가 오히려 과해서 조금은 덜 넣어달라고 주문하고싶다했답니다	4
14723	마인드가 훌륭한 젊은 사장님이 지키는 작은 동네 커피샵	4
19298	짬뽕이라는 자극적인 장르에서	5
17285	여러명 주문시 인분추가에 따른 양 차이가 크지 않아	4
21540	양념고기에서 누린내가 심하게 납니다	1
11637	미나리도 궁합이 매우 좋음.	5
2721	이번 주 촌가 슈빙님의 강남역 송사부수제쌀고로케에 대한 리뷰에서 본 기름에 튀겨진 햄치즈토스트고로케의 사진은 뭔가 기름져 보여 슈빙님의 표현대로 길티플레저의 느낌이어서 끌려서 가고싶다에 세이브 해 뒀다가 일요일 아침인지라 한번 맛보고 싶어 차를 끌고 강남역 근처에 가서 뒷골목에 적당히 주차를 한 뒤 네이버지도에서 안내하는대로 찾아가보니 7번 출구쪽이어서 가까이 가니 처음 가보는 새롭게 생긴 신분당선쪽으로 지하상가통로로 이어지는데 가게에 다 디다른거 같은데 잘 안보여서 다시 한번 살펴보니 가게문의 셔터가 내려져 있음	4
8618	점심시간엔 줄이 길어질 수가 있으니 바쁘신 분들은 피크타임 피해서 오시는 게 좋을 것 같습니다.	5
3297	파스타 리조또 모두 빠르게 나오고 맛도 좋았어요	4
16727	고기맛도 강하게 나고	4
18880	화장실이 병실내에 있고 병실내 티비없고...티비보는곳이 따로 있어요 개인 미니냉장고 있구요 생각보다 병실자리 넓고 간호사님들 친절합니다	5
19072	개인적으로 라멘보다 덮밥 종류가 더 맛있어요 매번 갈 때마다 직화부타동 시켜먹는데 넘넘 맛있음!	4
585	특히나 요즘은 게스트 하우스가 유행인데, 그에 반해 고전 방식의 팬션이면서도 가격도 착한 편이니.	5
2010	오리지널 오믈렛은 언제 먹어도 맛있네요	5
21124	커피도 맜있습니다	5
18969	고객응대에서 꽝인데	2
10064	원래 암사동에 있었는데 최근에 서초동으로 옮겨 왔다	4
19206	재료가 신선하고 공간이 넓고 외부와 탁트여 좋아요 양도 많고 맛도 괜찮네요	4
224	연회나 가족모임 행사하기에  상당히 좋은 곳이고 주차 해주시는 분들도 계서서 주차난 심한 신림동답지 않게 주차도 쾌적.	4
20929	분위기도 좋고	5
10797	특히 타ㅗ 좋아하시는 분이 추천 합니다	5
3410	단기보다는 장기체류자에 유용하며	4
5095	조금 더 알려져서 서울에 이에케 라멘붐을 일으킬 수 있는 기폭제 역할이 되는 가게가 되면 좋겠습니다.	5
16752	얼큰 칼국수도 너무 매운간아니거고 괜찮았고 보통 칼국수도 맛은 괜찮았습니다	3
4105	음료도 양 많고 든든하고 맛있어서 스무디종류 드셔보시는거 추천해요	5
20310	분위기도 편안하고 사장님도 친절하셔서 편하게 잘 쉬었습니다.	5
19494	김치 남기지 마세요~~	5
17446	여긴 비오면 와이파이가 매우 불안정합니다	2
1761	치맥하기 딱좋는 곳입니다ㅎㅎ 맥주도 시원하구 치킨이 완전 맛집이에요!!	5
11912	깍두기 볶음밥도 맛있습니다.	4
17179	그래서 대파김치와 함께 먹는걸 추천드려요	4
17595	2명은 中자, 3명은 大자로다가 무조건 인원수에 맞춰서 시켜야 된다고 함	1
11723	이벤트 메뉴는 미리 만들어두나봐요	4
11027	커플 코스주문했는데 가성비좋아요	4
7009	주차 편하고, 매장 깨끗하고, 직원 친절하고, 상품도 이전에 비해 신선해지고.	5
3052	슈퍼주니어 예성 남이 하시는 카페인 건 모르고 갔는데 가게 귀엽고 인테리어도 깔끔했어요	4
3388	아이들과 마음놓고 물놀이 하고 싶어 다녀왔어요	5
18266	좌석 간 거리도 어느정도 있고, 칸막이도 있었어요	5
2982	분위기가 너무 어수선했습니다	4
18785	곱창도 고소하고 막창도 쫄깃하구	5
11013	객실상태는 깨끗하고 정리잘되어 있음	5
4078	한돈스테이크는 안시켜도 될 느낌	5
9121	마제소바를 하는 곳이 그리 많지 않지만, 이 곳에서 그럴듯한 마제소바를 즐길 수 있었습니다	4
3586	맛은 괜찮은 편이네요 ~~~	4
11712	제활치료실이 쫌 미흡하지만 이제부터 내 숙제네요	1
2630	저녁에가면 더 좋을듯 합니다.	5
7121	저녁에나 봄 가을에는 좋을 것으로 보입니다	4
379	고기는 막 풀어지는 정도는 아니고 적당히 단단하고 질기지 않을 정도	5
16309	소스에 따라 맛이!!!그리고 수제 패티가 안짜고 고소함	5
7619	그래도 특전수령하기에는 좋은 곳.	4
5454	점심식사로 맛도 좋고 가성비까지 좋아요~	4
12588	경장육슬은 양이 매우많으니 여렀이 왔을때 시킬것.	4
5299	역삼역 7번 출구로 나가 약100여m쯤 가면 식당 들이 쭈욱 있는데 그 중 2층에 자리하고 있다 4년쯤 전에 박호길내과 에서 위 내시경 받고 와 본 식당이다 좁은 계단을 올라 가면 깨끗하고도 아담하게 꾸며 놓은 죽 집이다	4
12176	또 가게 입구 나무판자들도 다 낡아서 아이들이 다칠 위험이 있어 보이구요	3
13211	싱싱한 활어는 먹음직 스럽게 커다랗게	4
14503	들어가는 재료도 매우 심플해 소스 등의 존재감은 옅고 고기의 맛이 주로 느껴진다	4
10465	테이크아웃 전용매장으로 거듭나면 완벽할 것 같다	3
13831	반찬도 좋은 구성에 소스도 다양해서 좋았지만 멜젓은 끊이던가해야할듯 너무 비릿해	5
4645	완벽한 와인, 그에 꼭 맞는 요리를 맛 볼 수 있는 곳	5
14868	가격도 아직 ₩10,000 미만이라 요즘 시대에 가격이 착하게 느껴지네요,,	5
14420	저건 야식으로 먹고싶네요 ㅋㅋㅋ	4
16075	커피맛도 훌륭하고 고객 니즈에 맞춘 로스팅과 추출이 맘에 드는 곳	5
13431	칼칼함이 있는 그런 곳	5
8770	이유가 뭘까요?	3
15538	다만 고시히카리 쌀을 써서 밥알 자체가 맛있었던 느낌	4
2203	1.키즈세트때문인지 아이가 원해 방문한 카레집	4
18148	그 깊은 맛은 변하지 않는다.	5
17000	그러나 완전히 막힌 것은 아니어서 옆자리에 소란스런 큰 분들이 않으면 좀 거슬립니다	5
12120	The meat was very crispy on the outside and soft on the inside	3
442	정말 오랜만에 방문했어요	3
10876	꽃구경하기도 좋고, 고궁들의 웅장함이나 전통적인 미를 체험하기 좋아요	5
19220	4.5/5.0 저는 아무도 아닙니다.	4
5011	게장 등이 꽤 훌륭했고	4
20789	국물이 진해서 라면사리와 잘 어울린다	4
10942	맛있어요 양념이	5
17847	아쉬운 점을 꼽자면, 스끼다시의 퀄리티였어요	3
454	더 올라와 궁합이 좋았습니다	4
4634	저희같은 미식가들에게 제일 구미가 당기는 말이 뭐냐면 “재료소진시”라는 말에 미쳐버린다..부푼 마음을 안고 집에서 개봉하여 김치와 고기만두를 맛보고 왜 기다리는지 알겠다 생각보다 만두가 커서 반반씩 먹고 배부름 이따 또 먹어야지~ #이화만두 #군자역맛집 #만두맛집 #과노c슬기로운미식생활	5
6682	달랑 채소라는게 김치하고 나오는데  미친수준	1
8122	근처갈일이 있어 대학생들 많은 돈까스집 방문하였습니다	4
4362	맛있는 삼계탕이네요~ 김치 깍두기 다 괜찮아요	5
4765	남은거 싸왔지만	5
6415	그러나.	5
17952	저는 수다떨러갔지만 공부하기도 좋겠더라구요~ 넓직하고 쾌적한 공간입니다!	5
6193	일반 소면이 아니라, 직접 뽑으시는지 색도 모양도 시중제품과 조금 다르더라구요	4
10927	그리고 공간활용도~	5
21787	밥알이나 간장이나 소스..약간 디테일에서 부족하지만 이정도면 훌륭하네요	4
19325	파크 하얏트 주변,	4
15347	서빙해주시는 아주머님도 너무 바빠보이더라구요 번창하세요♥️	5
7063	웨이팅이 15팀 이상이다	5
11916	빨간날은 손님이 계속들어오네요	5
2172	서리풀 보쌈정식(2인분이상주문가능)	4
1130	9/25	5
9824	만두치고 비싸보이겠지만 만두 한알한알이 매우 컸습니다	5
10759	때문에 항상 신선하고 잡내 없이 맛 있게 먹을 수 있습니다	5
6025	아롱사태 수육은 좋았고	4
18008	영국 어딘가로 여행온 기분이 물씬 느껴집니다 주인장분이 얼마나 차에 진심인지도요ㅎㅎ 계절마다 달라지는 인테리어 구경도 즐거워요!	5
1928	밀가루맛 비슷해서 난 별루 였음	5
13823	어린이대공원역 애견카페 히릿	5
14678	가격별로 정리가 잘되어 있어 고르기 편합니다	4
19306	포장은 역시 맛이 떨어질수 밖에 없지요	4
6993	오로지 QR만 받는다 정부 지침이단건 어느나라 법입니까	3
6060	거의 회식으로 많이 오는 느낌입니다	3
3727	만두전골에는 고기, 만두, 채소가 골고루 들어있어 왠만한 샤브샤브 집보다 낫다	5
19931	겉이 초코로 코팅된 것인 줄 알았던 도넛들이 설탕으로 덮인 것이어서 충격이었다	4
2166	걸어서 마을 전체를 볼 수 있어 좋아요	5
1648	가성비 좋고, 샤리가 맛있었다	5
8764	예쁘게 그린 그림 ~ 🎨벽화 두 노인부부의 빈 의자 낙산공원에서 지는 저녁 석양~…	5
10244	그냥.	1
6777	재방문의사는 없습니다.	3
9263	음...일단 당리제일 밀면보다 못함.그렇다고 맛없다는건 아님.양도 푸짐하고 분위기가 예전같아서 좋음.너무 분주함.좁음.그래도 내 입맛엔 당리 제일밀면(신평1동에 있었슴),춘하추동 밀면이 제일임.가야밀면처럼 얇은면 싫어하는 사람들에게 강추함.(쫄면 좋아하시연 한번 드셔 보세요..)	4
10222	다르다고 생각했는데	3
12638	다양한 와인과 술을 판매하는 것이 특이했습니다.	3
5733	소이연남은 연남동 핫플 맛집으로 유명한 곳이에요	5
10509	따듯하게 젖은 손수건이 나오는게 포인트	4
4834	자주 와서 먹는데 가성비 좋은 스테이크를 맛있게 먹을 수 있어서 너무 좋아요	5
18997	30대 후반들이 갈수있는 최고의 강남 라운지펍	4
5308	떡볶이를 주문하면 바로 조리해 주셔서 그런 부분은 정말 마음에 듭니다	2
12414	동네에서 먹던 일반 해물짬뽕과는 확실히 결이 다르다	4
11782	우유가 들어가는 모든 음료에는 일반우유가 아닌 락토프리 (소화가잘되는)우유 만을 사용하고 있습니다	5
7471	비싼편인데 맛있음.쌀국수는 반씩 나눠줘서 좋고	5
4072	맛나네요ㅋ 옛날 선술집 느낌도 나고, 구워서 주시니까 너무 편해써요	4
15587	다양한 빈티지/앤틱 장식과 악세서리, 예쁜 생활 소품들도 판매하고 있어 취향에 따라 소소한 쇼핑을 즐기실 수도 있어요	5
16816	결론 : 슴슴하긴하나, 깊이있는 담백함인줄은 모르겠음 - 전골을 시켰는데, 상당히 슴슴했고 심심했다	3
5811	와인 전문가가 있어 항상 대접받는 느낌	5
15692	콜키지는 2병까지 free	3
18034	돼지 내장류를 좋아한다면 강추	5
2889	그 뒤 별도로 처리하려는 의지가 전혀 없길래 그냥 7천원 정도 더 내고 나왔는데.	2
4806	고대 근처 골목에 숨은 카페 발견	5
7283	근데 그런거를 다 견디고 먹을 정도로	5
498	얼마 지나지 않아 짬뽕이	5
5759	맛집 처럼 보여 우연히 들어왔는데 인생돈가스를 만났네요	5
5004	직원이앞에없고키오스크를모르는손님입불러도안에서잡담만하고있음,장사 를하는건지안하는건지분간이안감,	2
6911	전 메뉴가 전체적으로 적당히 짭짤하고 감칠맛있어서 좋았다	4
1802	주차는 1시간까지 지원된다	5
19539	개인적으로 우니, 튀긴 파+ 도미	4
1078	참고로 밥반찬추가됨	5
11024	저렴하고 반찬이 깔끔하게 나와서 좋아요	5
7421	가격착하고 양많고 맛있음	5
1379	직원들 친절하구요	4
8939	난 별로였다	2
18707	골목에 있지만 찾아가볼만한 분위기 좋은 카페	5
20703	김치볶음밥이 아주 일품	3
5083	3	3
10968	북해도산 우니, 문어, 생참치 등의 재료를 아낌없이 주신다는 리뷰를 보고 같는데, 이는 그날 상황에 따라 차이가 있는 것 같습니다	4
5735	뭐 하나 부족한게 하나도 없는 맛집입니당 이 무더위 속에서도 얼큰한 국물에 풍성한 미나리와 버섯이면 그 어떤 더위도 물릴칠 수 있을 꺼에오옹!	5
7532	분당 평양냉면 맛집을 알아보다가 가게 된 윤밀원	5
14980	쌀쌀한 날씨에 간절히 생각나는 뜨끈한 국물에 소주 한잔	4
13551	가격 중가	4
12533	그외 음식들도 맛이 뭔가 부족하다 생각이 들어서 먹는 내내 영통점 갈걸 생각이 들었습니다.	1
7752	오래된 한옥을 개조해서 사용하다보니 낡아보이긴 하지만 이대로 운치있고 비가 오면 가운데 투명 아크릴쪽으로 떨어지는 빗소리까지 듣기 좋습니다	5
5773	인테리어 보고 메뉴 생각 안하고 신랑 한테 나 여기서 먹을 꺼야라고 하고는  들어가 메뉴 시켰는데 내가 딱 원하던 스타일	5
17430	참고로 정식은 국수에 작은 감자만두 4개를	5
14027	밥은 돌솥밥으로 줘서 좋아요	3
21600	1F에 위치해서 대로변과 안쪽 명품관 연결통로등 두곳의 입구가 있습니다	4
14167	아메리카노는 무난하고 에그타르트는 약간 기름진 식감이라 살짝 느끼하지만 맛있었어요	4
1752	다른 노티드 도넛에 비해 줄을 서지 않아도 된다는 게 좋구요, 노티드 도넛 뒤늦게 매력을 알게되어 요즘 자주 먹고 있어요	5
10821	족발이고 보쌈이고 김치고 막국수고 진짜 예술입니다	5
14885	손님이 많고 저녁에는 족발에 술잔 기울이시는 분들도 있어서  대기하는 경우가 많습니다	5
1139	아보카도 샐러드나 치킨 샐러드가 제일 맛있늠	4
10115	다 최고입니다	5
8927	02-522-5933,  점심시간은 오전11시40분부터	5
10460	직접구워주기는 하지만 서비스는 조금 답답한 느낌	2
5734	직원분들이 고기 구워서 잘라주십니다	4
20429	하지만 기본 빙수집으로 늘 찾게되고 좋아요!	3
17914	도톰하게 썰어 나와서인지 더 탱글합니다	5
17928	파리가 계속 날아다녀 밥 먹는데 방해 됨 ㅠㅠ	4
7826	역세권이라 비쌀수밖에 없는듯….	3
11213	사람이 바글바글함	4
13548	하남시청 롯데리아는 아르바이트생들 친절하고 햄버거도 따뜻하고 청결도 좋더구만.	2
7847	테이블이 많지 않지만 계속 가득차는 맛집	5
955	사장님 내외분도 친절하셔요😀	5
10671	맞이해주는게 직원들 교육은 잘 되어있음	3
5666	불친절하단 평이 많은것도 이해는돼요	5
5658	코로나 걸리고 나서 코가 안뚫려가지고 양장피 머그러갔는데 너무 맛있게 먹고 코가 뚫렸어요	4
21155	커피향은 물론 부드러운 원두 풍미에 찐 감동을 느낄 수 있음.	5
6868	자주가는 단골이라 👍 좋아요.	5
7748	치즈감자도 진짜 담백하고 맛나요...	5
13161	가까우면 자주가겠지만	5
1429	재방문 예정입니다 :)	5
11216	하얀짜장은 평범합니다 한번쯤 궁금해서 먹어볼만한 정도에요 그냥 그렇습니다 면도 평범한 면이었어요 그래도 만두는 두가지맛 2개씩 4개에 7천원이었는데 나쁘지 않았습니다 하지만 특별한 맛은 아니었어요 짬뽕은.	3
1651	5개	5
2082	음식양은 적은편	3
4134	넓다고 보다는 길게 되어 있고 제품의 가지수가 엄청 많네요	5
14436	뷔페식이라 더 좋고,주주에 국수가 나와요.정말 맛있어요..	5
4529	물을 식사 후 달라기 전까지 안주셨다..식기 겉에 기름기가 남아있었다 간이 삼삼하여 간장을 요청했는데 엄청 조금주심..ㅠㅠ맛은 마라맛이 은근 쎄서 얼얼하다 염도가 약해서 여자분들이 좋아하실듯 한 맛 내 입엔 살짝 아쉬웠다ㅠㅠ맛의 밸런스는 전체적으로 괜찮은것같다	3
6476	ㅎ 고기고명은 정말 속이 든든한 느낌을 미리 준다	4
18233	망치탕수육으로 알려져 있어 시켜먹었는데 별다른 것은 없네요	3
12126	보통2개를 시키는데 맛있고 양은 부족해서 더시켜먹음	5
16291	6개에 8500원인 새우찐만두 하나를 주문했고요,	5
18622	그럼에도 불구하고, 부산에서 마제소바가 생각날 때 웨이팅이 거의 없거나 길지 않다면 한 번쯤 방문하기 괜찮은 곳이라고 생각합니다.	4
4234	새건물에 생겨서 쾌적하고 카페 전반적으로 새것인 느낌이 많이 들어요	4
9058	좌석은 반투명 유리로 방처럼 되어 있어서 일행과 편안한 대화가 가능합니다	5
5298	감바스랑 저 밥은 제 취향은 아니었고, 피자는 괜찮았던 것 같아요	4
16779	주차는 건물지하에 발렛해야하고  2시간 지원되며 2천원의 기본료는 내야합니다	4
6005	설렁탕 하면 이곳에 한번씩 들려서 먹곤 합니다!가격도 착하고 음식도 괜찮아요!밑반찬도 다른 집 보단 나은것 같고 고기 소스도 있어서 좋으네요.바로 앞에 서x깍둑기 집이 있는데 전 그집 보단 이집이 더 나은것 같아요.갠적이지만~^^;;가격면이나 음식맛이!다만 주차시설이 없어서 다소 불편한것에 별 하나 뺐어요!	4
12418	냉모밀도 쫄깃하고 맛있어요	5
12493	무한리필 가성비 굿	4
3193	계란말이는 도시락 반찬이 생각나는 맛이다 😁 전문 음식점 계란말이와는 다른 옛 느낌이난다	4
10977	기호에 맞게 땡초로 맵기 조절도 가능하구요	5
9014	미안 다시 안올개	3
2136	편육 별미!	5
2784	오 진짜 25,000에 먹을수 없는 양임…	4
7554	흥미로운 놀이공간이 좋았어요.	5
18768	거의 다 먹고 발견해서 별말없이	3
1929	[요약]: 다양한 베이글이 있고, 베이글이 맛있는곳 [재방문의사]: 90 % [꿀팁]: 인기가 많아서 웨이팅이 있을수 있다	4
14468	카피	5
10883	궁금해서 가보는건 추천	2
2867	좀 두꺼운 네타를 추구하셔서 거북이인가	4
5801	귀리로 바꾸어 먹으면 더 맛있다	5
5065	세트시키면 소갈비살과 돼지목살 같이나옴	5
15058	음.	3
9343	모두에게 열린 공간이니 너른 마음과 배려가 필요할 것 같습니다.	4
8510	모임 인원이 많아 지하1층을 전세(?)로 저녁을 즐겼습니다	5
5130	이시각에도 사람 많았어요	5
2196	특히 요즘 ㅋ *에서 wow랑 행사를 하니 배달비도 부담스럽지 않고 연휴내내 비가와서리~~	5
18902	예약자명단대로 입장할수있었고	5
11398	그리고 직접 로스팅하고 몇몇 종류의 로스팅한 원두를 판매하고 있음	4
9041	모든것을  해결해준다	5
14891	3층에 위치한 가게는 엘리베이터가 없다 더운 여름철에는 올라가는게 좀 힘들 정도	4
16703	메뉴당 가격이 비싼 편입니다	4
3460	한가지 아쉬운 점은 방문했을때 만리동이랑 김치파스타 메뉴가 재료가 소진되서 못 먹었습니다	5
18351	직접 브루잉도 하시고 핸드드립도 해주신다	4
8095	그러나 고기 잡내가 하나도 안나고, 다양한 방법으로 먹을 수 있어서 좋다	4
16213	휘문고 사거리 근처에서 방을 잡고 회나 초밥을 먹으면서 누군가와 업무 상 이야기를 나눌 때 선택할 수 있는 집이 거의 없는데, 스시유는 그런 면에서는 나쁘지 않은 대안	4
15937	분당 미금동 갈때마다 가는 곳이에요	5
1029	2인 방문해서 세트 하나 버거 단품 하나 주문하면 양이 딱 알맞음	5
8408	주차자리가 협소해요...	4
8513	Price is reasonable, good to visit with freinds.	4
207	특히 내용물 가득가득한 오리지날 오믈렛 추천해요~ 날씨가 좋아서 테라스에 앉았더니 너무 좋더라구요	5
6138	꿔바로우도 맛있고 마라면(?)도 부담없이 좋다	4
3704	샐러드의 맛은 근래 경험한 어느 피자보다 맛이 좋았어요	5
1523	근처에 일하는 동생들 소개로 방금 상해루에서 저녁과 고량주를 호로록~ 깐풍기에 짬뽕과 마파마라면 먹다가 너무 다 매워서 크림새우로 마무리했어요 그릇에 나눠 담아주시니 같이 먹기 너무 좋았습니다 9시정도 되니 끝나는 분위기라 과음하지 않고 아름답게 헤어졌네요 다음엔 탕구육에 맥주!	5
10753	식사는 유니짜장과 마라두부면을 먹었습니다	5
14770	미디어아트도 예뻐요~~	5
14793	범계역 바로 옆, 뉴코아 백화점 쪽으로 붐비는 지역에 위치하고 있어서 유동인구가 정말 많습니다	4
8658	딸기 요거트나 라떼 등 맛이 나쁘지 않았다	4
5174	본인이 마실 양을 선택하니깐	5
12747	가장 큰 문제는 직원이 부족해서인지 청소가 전혀되지않는다	2
3067	그런데 말입니다	4
3148	첫 계란찜 서비스는 역시 한국은 아직 따뜻하구나가 느껴짐	3
8328	기대를 많이 하고 가서 그런지 기대한 맛이 아니라서 좀 아쉽긴 했네요	4
345	루프탑 올라가는 계단이 매우 협소하고 불편	4
10934	아포방포 !!	5
10528	하지만 ..	2
7497	약사도 고객에게 반말은 기본이고 20대 젊은 종업원도 기본이 반말 찍	1
21152	_____2022년 5월	4
3745	분위기는 시끌벅적함.	5
3725	성근아 너 지금도 운동하지	5
3168	사장님 두분이 너무 정다우심	5
1886	간도 적당하게 잘 되어있어서 아주 맛있게 먹었습니다	5
11280	사리를 더 달라고 할 껄 그랬나?	3
4436	기대 이상 이였습니다	5
11759	정말 좋으신 분이였는데~	5
7515	감튀는 소금간이 약하고 평범하다	4
6338	모짜렐라 치즈가 풍부하고 빵은 바삭해서 만족스러워요	3
7190	추가한 고기와 국물 먹을 땐 좀 짜졌는데 오래 끓여서인듯..	4
12171	오전 11시 20분에 오픈해서 오후 8시까지라고 하네요	4
8115	전체적인 만족감이 높은가게	5
2245	무한리필로 많이는 마시지 않았지만 1컵반정도	4
1636	밑반찬도 모두 맛있어요	4
4753	크럼블안 따뜻하게 데워 주고, 아이스크림을 올려 주는데 조화가 훌륭했어요	5
1506	술은 특히 전통주 라인업이 정말 좋습니다	5
8472	먹지말길..	5
7168	청어 나메로	4
10174	자리가 잇어도 웨이팅하셔야해요!	4
